displayLabel|County|avgIncome:float|error:float|stateCounty
United States - Arkansas - Nevada County|Nevada County|38375|6215|AR-Nevada County
United States - Arkansas - Newton County|Newton County|27441|3825|AR-Newton County
United States - Arkansas - Ouachita County|Ouachita County|31259|2479|AR-Ouachita County
United States - Arkansas - Perry County|Perry County|43635|3483|AR-Perry County
United States - Arkansas - Phillips County|Phillips County|27361|1683|AR-Phillips County
United States - Arkansas - Pike County|Pike County|32806|4259|AR-Pike County
United States - Arkansas - Poinsett County|Poinsett County|32267|1581|AR-Poinsett County
United States - Arkansas - Polk County|Polk County|32525|2196|AR-Polk County
United States - Arkansas - Pope County|Pope County|39841|1475|AR-Pope County
United States - Arkansas - Prairie County|Prairie County|35346|2660|AR-Prairie County
United States - Arkansas - Pulaski County|Pulaski County|45121|783|AR-Pulaski County
United States - Arkansas - Randolph County|Randolph County|30222|3828|AR-Randolph County
United States - Arkansas - St. Francis County|St. Francis County|27019|2493|AR-St. Francis County
United States - Arkansas - Saline County|Saline County|51502|1235|AR-Saline County
United States - Arkansas - Scott County|Scott County|36417|3310|AR-Scott County
United States - Arkansas - Searcy County|Searcy County|28811|2663|AR-Searcy County
United States - Arkansas - Sebastian County|Sebastian County|39482|1078|AR-Sebastian County
United States - Arkansas - Sevier County|Sevier County|34383|2954|AR-Sevier County
United States - Arkansas - Sharp County|Sharp County|31135|2373|AR-Sharp County
United States - Arkansas - Stone County|Stone County|30380|4411|AR-Stone County
United States - Arkansas - Union County|Union County|36464|2779|AR-Union County
United States - Arkansas - Van Buren County|Van Buren County|31960|2566|AR-Van Buren County
United States - Arkansas - Washington County|Washington County|42303|1076|AR-Washington County
United States - Arkansas - White County|White County|39178|1858|AR-White County
United States - Arkansas - Woodruff County|Woodruff County|27186|2171|AR-Woodruff County
United States - Arkansas - Yell County|Yell County|36606|2991|AR-Yell County
United States - California|California|60883|150|-California
United States - California - Alameda County|Alameda County|69384|876|CA-Alameda County
United States - California - Alpine County|Alpine County|63478|16309|CA-Alpine County
United States - California - Amador County|Amador County|54758|3340|CA-Amador County
United States - California - Butte County|Butte County|43170|982|CA-Butte County
United States - California - Calaveras County|Calaveras County|54971|4905|CA-Calaveras County
United States - California - Colusa County|Colusa County|48016|4404|CA-Colusa County
United States - California - Contra Costa County|Contra Costa County|78385|859|CA-Contra Costa County
United States - California - Del Norte County|Del Norte County|36118|4870|CA-Del Norte County
United States - California - El Dorado County|El Dorado County|70000|1769|CA-El Dorado County
United States - California - Fresno County|Fresno County|46430|658|CA-Fresno County
United States - California - Glenn County|Glenn County|43074|2413|CA-Glenn County
United States - California - Humboldt County|Humboldt County|40089|1219|CA-Humboldt County
