zip|type|primary_city|state|county|stateCounty
01073|STANDARD|Southampton|MA|Hampshire County|MA-Hampshire County
01074|PO BOX|South Barre|MA|Worcester County|MA-Worcester County
01075|STANDARD|South Hadley|MA|Hampshire County|MA-Hampshire County
01077|STANDARD|Southwick|MA|Hampden County|MA-Hampden County
01079|PO BOX|Thorndike|MA|Hampden County|MA-Hampden County
01080|STANDARD|Three Rivers|MA|Hampden County|MA-Hampden County
01081|STANDARD|Wales|MA|Hampden County|MA-Hampden County
01082|STANDARD|Ware|MA|Hampshire County|MA-Hampshire County
01083|PO BOX|Warren|MA|Worcester County|MA-Worcester County
01084|STANDARD|West Chesterfield|MA|Hampshire County|MA-Hampshire County
01085|STANDARD|Westfield|MA|Hampden County|MA-Hampden County
01086|PO BOX|Westfield|MA|Hampden County|MA-Hampden County
01088|STANDARD|West Hatfield|MA|Hampshire County|MA-Hampshire County
01089|STANDARD|West Springfield|MA|Hampden County|MA-Hampden County
01090|PO BOX|West Springfield|MA|Hampden County|MA-Hampden County
01092|PO BOX|West Warren|MA|Worcester County|MA-Worcester County
01093|PO BOX|Whately|MA|Franklin County|MA-Franklin County
01094|PO BOX|Wheelwright|MA|Worcester County|MA-Worcester County
01095|STANDARD|Wilbraham|MA|Hampden County|MA-Hampden County
01096|STANDARD|Williamsburg|MA|Hampshire County|MA-Hampshire County
01097|PO BOX|Woronoco|MA|Hampden County|MA-Hampden County
01098|STANDARD|Worthington|MA|Hampshire County|MA-Hampshire County
01101|PO BOX|Springfield|MA|Hampden County|MA-Hampden County
01102|PO BOX|Springfield|MA|Hampden County|MA-Hampden County
01103|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01104|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01105|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01106|STANDARD|Longmeadow|MA|Hampden County|MA-Hampden County
01107|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01108|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01109|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01111|UNIQUE|Springfield|MA|Hampden County|MA-Hampden County
01115|PO BOX|Springfield|MA|Hampden County|MA-Hampden County
01116|PO BOX|Longmeadow|MA|Hampden County|MA-Hampden County
01118|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01119|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01128|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01129|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01133|UNIQUE|Springfield|MA|Hampden County|MA-Hampden County
01138|PO BOX|Springfield|MA|Hampden County|MA-Hampden County
01139|PO BOX|Springfield|MA|Hampden County|MA-Hampden County
01144|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01151|STANDARD|Indian Orchard|MA|Hampden County|MA-Hampden County
01152|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01195|STANDARD|Springfield|MA|Hampden County|MA-Hampden County
01199|UNIQUE|Springfield|MA|Hampden County|MA-Hampden County
01201|STANDARD|Pittsfield|MA|Berkshire County|MA-Berkshire County
01202|PO BOX|Pittsfield|MA|Berkshire County|MA-Berkshire County
01203|PO BOX|Pittsfield|MA|Berkshire County|MA-Berkshire County
01220|STANDARD|Adams|MA|Berkshire County|MA-Berkshire County
01222|STANDARD|Ashley Falls|MA|Berkshire County|MA-Berkshire County
01223|STANDARD|Becket|MA|Berkshire County|MA-Berkshire County
01224|STANDARD|Berkshire|MA|Berkshire County|MA-Berkshire County
01225|STANDARD|Cheshire|MA|Berkshire County|MA-Berkshire County
01226|STANDARD|Dalton|MA|Berkshire County|MA-Berkshire County
01227|PO BOX|Dalton|MA|Berkshire County|MA-Berkshire County
01229|PO BOX|Glendale|MA|Berkshire County|MA-Berkshire County
01230|STANDARD|Great Barrington|MA|Berkshire County|MA-Berkshire County
01235|STANDARD|Hinsdale|MA|Berkshire County|MA-Berkshire County
01236|STANDARD|Housatonic|MA|Berkshire County|MA-Berkshire County
01237|STANDARD|Lanesboro|MA|Berkshire County|MA-Berkshire County
01238|STANDARD|Lee|MA|Berkshire County|MA-Berkshire County
01240|STANDARD|Lenox|MA|Berkshire County|MA-Berkshire County
01242|PO BOX|Lenox Dale|MA|Berkshire County|MA-Berkshire County
01243|PO BOX|Middlefield|MA|Hampshire County|MA-Hampshire County
01244|PO BOX|Mill River|MA|Berkshire County|MA-Berkshire County
01245|STANDARD|Monterey|MA|Berkshire County|MA-Berkshire County
01247|STANDARD|North Adams|MA|Berkshire County|MA-Berkshire County
01252|PO BOX|North Egremont|MA|Berkshire County|MA-Berkshire County
01253|STANDARD|Otis|MA|Berkshire County|MA-Berkshire County
01254|STANDARD|Richmond|MA|Berkshire County|MA-Berkshire County
01255|STANDARD|Sandisfield|MA|Berkshire County|MA-Berkshire County
01256|STANDARD|Savoy|MA|Berkshire County|MA-Berkshire County
01257|STANDARD|Sheffield|MA|Berkshire County|MA-Berkshire County
01258|STANDARD|South Egremont|MA|Berkshire County|MA-Berkshire County
01259|STANDARD|Southfield|MA|Berkshire County|MA-Berkshire County
01260|PO BOX|South Lee|MA|Berkshire County|MA-Berkshire County
01262|PO BOX|Stockbridge|MA|Berkshire County|MA-Berkshire County
01263|UNIQUE|Stockbridge|MA|Berkshire County|MA-Berkshire County
01264|PO BOX|Tyringham|MA|Berkshire County|MA-Berkshire County
01266|STANDARD|West Stockbridge|MA|Berkshire County|MA-Berkshire County
01267|STANDARD|Williamstown|MA|Berkshire County|MA-Berkshire County
01270|STANDARD|Windsor|MA|Berkshire County|MA-Berkshire County
01301|STANDARD|Greenfield|MA|Franklin County|MA-Franklin County
01302|PO BOX|Greenfield|MA|Franklin County|MA-Franklin County
01330|STANDARD|Ashfield|MA|Franklin County|MA-Franklin County
01331|STANDARD|Athol|MA|Worcester County|MA-Worcester County
01337|STANDARD|Bernardston|MA|Franklin County|MA-Franklin County
01338|STANDARD|Buckland|MA|Franklin County|MA-Franklin County
01339|STANDARD|Charlemont|MA|Franklin County|MA-Franklin County
01340|STANDARD|Colrain|MA|Franklin County|MA-Franklin County
01341|STANDARD|Conway|MA|Franklin County|MA-Franklin County
01342|STANDARD|Deerfield|MA|Franklin County|MA-Franklin County
01343|STANDARD|Drury|MA|Berkshire County|MA-Berkshire County
01344|STANDARD|Erving|MA|Franklin County|MA-Franklin County
01346|STANDARD|Heath|MA|Franklin County|MA-Franklin County
01347|PO BOX|Lake Pleasant|MA|Franklin County|MA-Franklin County
01349|STANDARD|Millers Falls|MA|Franklin County|MA-Franklin County
01350|PO BOX|Monroe Bridge|MA|Franklin County|MA-Franklin County
01351|STANDARD|Montague|MA|Franklin County|MA-Franklin County
01354|STANDARD|Gill|MA|Franklin County|MA-Franklin County
01355|STANDARD|New Salem|MA|Franklin County|MA-Franklin County
01360|STANDARD|Northfield|MA|Franklin County|MA-Franklin County
01364|STANDARD|Orange|MA|Franklin County|MA-Franklin County
01366|STANDARD|Petersham|MA|Worcester County|MA-Worcester County
01367|STANDARD|Rowe|MA|Franklin County|MA-Franklin County
01368|STANDARD|Royalston|MA|Worcester County|MA-Worcester County
01370|STANDARD|Shelburne Falls|MA|Franklin County|MA-Franklin County
01373|STANDARD|South Deerfield|MA|Franklin County|MA-Franklin County
01375|STANDARD|Sunderland|MA|Franklin County|MA-Franklin County
01376|STANDARD|Turners Falls|MA|Franklin County|MA-Franklin County
01378|STANDARD|Warwick|MA|Franklin County|MA-Franklin County
01379|STANDARD|Wendell|MA|Franklin County|MA-Franklin County
01380|STANDARD|Wendell Depot|MA|Franklin County|MA-Franklin County
01420|STANDARD|Fitchburg|MA|Worcester County|MA-Worcester County
01430|STANDARD|Ashburnham|MA|Worcester County|MA-Worcester County
01431|STANDARD|Ashby|MA|Middlesex County|MA-Middlesex County
01432|STANDARD|Ayer|MA|Middlesex County|MA-Middlesex County
01434|STANDARD|Devens|MA|Worcester County|MA-Worcester County
01436|STANDARD|Baldwinville|MA|Worcester County|MA-Worcester County
01438|PO BOX|East Templeton|MA|Worcester County|MA-Worcester County
01440|STANDARD|Gardner|MA|Worcester County|MA-Worcester County
01441|UNIQUE|Westminster|MA|Worcester County|MA-Worcester County
01450|STANDARD|Groton|MA|Middlesex County|MA-Middlesex County
01451|STANDARD|Harvard|MA|Worcester County|MA-Worcester County
01452|STANDARD|Hubbardston|MA|Worcester County|MA-Worcester County
01453|STANDARD|Leominster|MA|Worcester County|MA-Worcester County
01460|STANDARD|Littleton|MA|Middlesex County|MA-Middlesex County
01462|STANDARD|Lunenburg|MA|Worcester County|MA-Worcester County
01463|STANDARD|Pepperell|MA|Middlesex County|MA-Middlesex County
01464|STANDARD|Shirley|MA|Middlesex County|MA-Middlesex County
01467|PO BOX|Still River|MA|Worcester County|MA-Worcester County
01468|STANDARD|Templeton|MA|Worcester County|MA-Worcester County
01469|STANDARD|Townsend|MA|Middlesex County|MA-Middlesex County
01470|UNIQUE|Groton|MA|Middlesex County|MA-Middlesex County
01471|UNIQUE|Groton|MA|Middlesex County|MA-Middlesex County
01472|PO BOX|West Groton|MA|Middlesex County|MA-Middlesex County
01473|STANDARD|Westminster|MA|Worcester County|MA-Worcester County
01474|STANDARD|West Townsend|MA|Middlesex County|MA-Middlesex County
01475|STANDARD|Winchendon|MA|Worcester County|MA-Worcester County
01477|PO BOX|Winchendon Springs|MA|Worcester County|MA-Worcester County
01501|STANDARD|Auburn|MA|Worcester County|MA-Worcester County
01503|STANDARD|Berlin|MA|Worcester County|MA-Worcester County
01504|STANDARD|Blackstone|MA|Worcester County|MA-Worcester County
01505|STANDARD|Boylston|MA|Worcester County|MA-Worcester County
01506|STANDARD|Brookfield|MA|Worcester County|MA-Worcester County
01507|STANDARD|Charlton|MA|Worcester County|MA-Worcester County
01508|PO BOX|Charlton City|MA|Worcester County|MA-Worcester County
01509|PO BOX|Charlton Depot|MA|Worcester County|MA-Worcester County
01510|STANDARD|Clinton|MA|Worcester County|MA-Worcester County
01515|STANDARD|East Brookfield|MA|Worcester County|MA-Worcester County
01516|STANDARD|Douglas|MA|Worcester County|MA-Worcester County
01517|PO BOX|East Princeton|MA|Worcester County|MA-Worcester County
01518|STANDARD|Fiskdale|MA|Worcester County|MA-Worcester County
01519|STANDARD|Grafton|MA|Worcester County|MA-Worcester County
01520|STANDARD|Holden|MA|Worcester County|MA-Worcester County
01521|STANDARD|Holland|MA|Hampden County|MA-Hampden County
01522|STANDARD|Jefferson|MA|Worcester County|MA-Worcester County
01523|STANDARD|Lancaster|MA|Worcester County|MA-Worcester County
01524|STANDARD|Leicester|MA|Worcester County|MA-Worcester County
01525|PO BOX|Linwood|MA|Worcester County|MA-Worcester County
01526|PO BOX|Manchaug|MA|Worcester County|MA-Worcester County
01527|STANDARD|Millbury|MA|Worcester County|MA-Worcester County
01529|STANDARD|Millville|MA|Worcester County|MA-Worcester County
01531|STANDARD|New Braintree|MA|Worcester County|MA-Worcester County
01532|STANDARD|Northborough|MA|Worcester County|MA-Worcester County
01534|STANDARD|Northbridge|MA|Worcester County|MA-Worcester County
01535|STANDARD|North Brookfield|MA|Worcester County|MA-Worcester County
01536|STANDARD|North Grafton|MA|Worcester County|MA-Worcester County
01537|STANDARD|North Oxford|MA|Worcester County|MA-Worcester County
01538|PO BOX|North Uxbridge|MA|Worcester County|MA-Worcester County
01540|STANDARD|Oxford|MA|Worcester County|MA-Worcester County
01541|STANDARD|Princeton|MA|Worcester County|MA-Worcester County
01542|STANDARD|Rochdale|MA|Worcester County|MA-Worcester County
01543|STANDARD|Rutland|MA|Worcester County|MA-Worcester County
01545|STANDARD|Shrewsbury|MA|Worcester County|MA-Worcester County
01546|UNIQUE|Shrewsbury|MA|Worcester County|MA-Worcester County
01550|STANDARD|Southbridge|MA|Worcester County|MA-Worcester County
01560|STANDARD|South Grafton|MA|Worcester County|MA-Worcester County
01561|PO BOX|South Lancaster|MA|Worcester County|MA-Worcester County
01562|STANDARD|Spencer|MA|Worcester County|MA-Worcester County
01564|STANDARD|Sterling|MA|Worcester County|MA-Worcester County
01566|STANDARD|Sturbridge|MA|Worcester County|MA-Worcester County
01568|STANDARD|Upton|MA|Worcester County|MA-Worcester County
01569|STANDARD|Uxbridge|MA|Worcester County|MA-Worcester County
01570|STANDARD|Webster|MA|Worcester County|MA-Worcester County
01571|STANDARD|Dudley|MA|Worcester County|MA-Worcester County
01580|UNIQUE|Westborough|MA|Worcester County|MA-Worcester County
01581|STANDARD|Westborough|MA|Worcester County|MA-Worcester County
01582|UNIQUE|Westborough|MA|Worcester County|MA-Worcester County
01583|STANDARD|West Boylston|MA|Worcester County|MA-Worcester County
01585|STANDARD|West Brookfield|MA|Worcester County|MA-Worcester County
01586|PO BOX|West Millbury|MA|Worcester County|MA-Worcester County
01588|STANDARD|Whitinsville|MA|Worcester County|MA-Worcester County
01590|STANDARD|Sutton|MA|Worcester County|MA-Worcester County
01601|PO BOX|Worcester|MA|Worcester County|MA-Worcester County
01602|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01603|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01604|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01605|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01606|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01607|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01608|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01609|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01610|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01611|STANDARD|Cherry Valley|MA|Worcester County|MA-Worcester County
01612|STANDARD|Paxton|MA|Worcester County|MA-Worcester County
01613|PO BOX|Worcester|MA|Worcester County|MA-Worcester County
01614|PO BOX|Worcester|MA|Worcester County|MA-Worcester County
01615|PO BOX|Worcester|MA|Worcester County|MA-Worcester County
01653|UNIQUE|Worcester|MA|Worcester County|MA-Worcester County
01654|UNIQUE|Worcester|MA|Worcester County|MA-Worcester County
01655|STANDARD|Worcester|MA|Worcester County|MA-Worcester County
01701|STANDARD|Framingham|MA|Middlesex County|MA-Middlesex County
01702|STANDARD|Framingham|MA|Middlesex County|MA-Middlesex County
01703|PO BOX|Framingham|MA|Middlesex County|MA-Middlesex County
01704|PO BOX|Framingham|MA|Middlesex County|MA-Middlesex County
01705|PO BOX|Framingham|MA|Middlesex County|MA-Middlesex County
01718|STANDARD|Village Of Nagog Woods|MA|Middlesex County|MA-Middlesex County
01719|STANDARD|Boxborough|MA|Middlesex County|MA-Middlesex County
01720|STANDARD|Acton|MA|Middlesex County|MA-Middlesex County
