State|ZCTACode|ZipCode|header1:float|header2:float|header3:float|header4:float|header5:float|header6:float|header7:float|header8:float|header9:float|header10:float
Alabama|ZCTA 35652|35652|3459|68.9|25.9|54.9|10.2|31.1|28|12.9|2.36|2.89
Alabama|ZCTA 35653|35653|4156|69.3|31.4|50|13.5|30.7|27.7|13.4|2.64|3.2
Alabama|ZCTA 35654|35654|3255|73.5|31.9|55.5|12.1|26.5|23.4|10.8|2.64|3.09
Alabama|ZCTA 35660|35660|4057|59.7|23.2|38|17.2|40.3|36.1|15.4|2.23|2.89
Alabama|ZCTA 35661|35661|6812|70.6|28.9|54.6|12.5|29.4|26.1|11.1|2.41|2.9
Alabama|ZCTA 35670|35670|3014|75|28|59.8|10|25|21.9|7.7|2.54|2.94
Alabama|ZCTA 35671|35671|861|69|25.7|45.4|18.4|31|27.3|8.4|2.45|2.97
Alabama|ZCTA 35672|35672|2548|73.9|28.8|54.5|14.5|26.1|23.9|10.6|2.53|2.97
Alabama|ZCTA 35673|35673|3115|78.3|32.8|63.4|9.7|21.7|18.8|7.3|2.63|2.98
Alabama|ZCTA 35674|35674|7660|68|26.8|50.8|13|32|28.9|12.7|2.37|2.91
Alabama|ZCTA 35677|35677|782|71.2|26.1|57.2|9.2|28.8|24.9|9.2|2.46|2.92
Alabama|ZCTA 35739|35739|1988|74.3|31.9|57.6|12.2|25.7|22.2|10.6|2.59|3.01
Alabama|ZCTA 35740|35740|1447|69.7|27.6|49.2|14|30.3|26.6|12.6|2.41|2.88
Alabama|ZCTA 35741|35741|1190|72.2|28.8|61.3|7.8|27.8|24.4|7.8|2.46|2.94
Alabama|ZCTA 35744|35744|949|71.9|29.4|56.2|11.1|28.1|24.1|10.4|2.63|3.12
Alabama|ZCTA 35745|35745|123|71.5|15.4|64.2|4.1|28.5|23.6|13|2.34|2.77
Alabama|ZCTA 35746|35746|317|81.1|31.9|69.1|7.6|18.9|15.5|5.4|2.7|2.98
Alabama|ZCTA 35747|35747|2320|73.2|29.3|58.9|10.2|26.8|24.1|10.3|2.54|3.01
Alabama|ZCTA 35748|35748|2429|75.3|27.6|60.4|10.7|24.7|21|7.9|2.58|2.98
Alabama|ZCTA 35749|35749|7446|79.7|39|65.2|10.5|20.3|17.3|4.1|2.76|3.12
Alabama|ZCTA 35750|35750|4742|77|34.7|60.5|11.2|23|19.7|6.1|2.69|3.08
Alabama|ZCTA 35751|35751|106|68.9|22.6|54.7|10.4|31.1|30.2|7.5|2.5|3.11
Alabama|ZCTA 35752|35752|842|71.4|24.3|52.5|12.6|28.6|24.6|10.3|2.43|2.89
Alabama|ZCTA 35754|35754|2131|69.9|25.8|53.5|10.8|30.1|24.8|8.3|2.52|2.99
Alabama|ZCTA 35755|35755|273|68.5|17.9|59.3|4|31.5|29.7|16.5|2.15|2.58
Alabama|ZCTA 35756|35756|3319|77.8|38.4|62.8|11.4|22.2|18.8|4.1|2.72|3.11
Alabama|ZCTA 35757|35757|4724|75.6|37.7|62.2|9.9|24.4|21.1|5.2|2.69|3.14
Alabama|ZCTA 35758|35758|16254|70.7|37|57.3|10|29.3|25.3|5.1|2.57|3.12
Alabama|ZCTA 35759|35759|2405|78.5|33.9|66.4|9|21.5|18.6|6.3|2.66|3.04
Alabama|ZCTA 35760|35760|2049|70.9|28.6|55.1|10.7|29.1|25.2|11.4|2.47|2.93
